id,group_id,title,datetime
T00001,G00015,ANA、能登半島地震でマイル寄付受付 ふるさと納税も,2024年1月5日
T00002,G00024,JAL、あすの羽田発ロンドン・パリ行きを成田・中部経由に 滑走路の離陸性能制限で,2024年1月5日
T00003,G00015,ANA、1月8日以降の羽田空港発着便は全便運航,2024年1月5日
T00004,G00024,JAL、東京/成田〜札幌/千歳線で臨時便 1月6日と7日に計7便,2024年1月5日
T00005,G00015,ANA、東京/成田〜札幌/千歳・大阪/伊丹・福岡線で臨時便 1月7日に13便,2024年1月5日
T00006,G00015,ANA、1月7日は96便を欠航 羽田空港滑走路閉鎖の影響,2024年1月5日
T00007,G00052,アラスカ航空、ボーイング737-8型機を初受領,2024年1月5日
T00008,G00011,エア・ドゥ、新千歳空港での空席待ちを中止,2024年1月5日
T00009,G00044,カタール航空、「お年玉ギフトキャンペーン」開催 モデルプレーンなどプレゼント,2024年1月5日
T00010,G00131,エミレーツ航空、ソウル/仁川〜ドバイ線を増便 2月19日から週10往復,2024年1月5日
T00011,G00071,スカイマーク、1便を欠航 特別取り扱い延長,2024年1月5日
T00012,G00015,ANA、あす1月6日は96便を欠航 羽田空港滑走路閉鎖の影響,2024年1月5日
T00013,G00015,ANA、東京/成田〜札幌/千歳・大阪/伊丹・福岡線で臨時便 1月5日〜6日に計24便,2024年1月5日
T00014,,JR北海道、札幌〜函館駅間で臨時特急1往復 東京行き臨時「はやて」に接続,2024年1月5日
T00015,G00015,ANA、東京/成田〜札幌/千歳・大阪/伊丹・福岡線で臨時便,2024年1月5日
T00016,G00005,スターフライヤー、夏スケジュールの航空券を1月31日発売開始,2024年1月5日
T00017,G00024,JAL、きょうの羽田発ロンドン・パリ行きを成田経由に 滑走路の離陸性能制限で,2024年1月5日
T00018,G00024,JAL、羽田空港での空席待ちを8日まで全路線で中止,2024年1月4日
T00019,G00015,ANA、きょう103便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00020,G00015,ANA、あす5日は98便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00021,G00024,JAL、あす5日は102便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00022,G00024,JAL、きょう91便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00023,G00015,ANA、東京/羽田〜能登線を24日まで欠航,2024年1月4日
T00024,G00015,ANA、航空券の特別取り扱いを延長 羽田発着便は8日まで,2024年1月4日
T00025,G00040,能登空港、24日まで終日欠航を決める,2024年1月4日
T00026,G00024,JAL、きょう82便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00027,G00071,スカイマーク、9便を欠航 羽田発着便で出発時刻調整を実施,2024年1月4日
T00028,G00024,JAL、札幌/千歳〜東京/成田線で臨時便 きょう1便、350-900で,2024年1月4日
T00029,G00015,ANA、きょう95便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00030,G00071,スカイマーク、航空券の特別取り扱い実施 5日搭乗分まで,2024年1月4日
T00031,G00071,スカイマーク、2便を欠航 羽田発着便で出発時刻調整を実施,2024年1月4日
T00032,G00055,チェジュ航空、日韓線で「700円航空券セール」開催,2024年1月4日
T00033,G00015,ANA、あす5日も航空券の特別取り扱い実施 無手数料で振替・払戻対応,2024年1月4日
T00034,G00060,スプリング・ジャパン、航空券の特別対応実施 3月30日搭乗分まで対象,2024年1月4日
T00035,G00024,JAL、きょう66便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00036,G00024,JAL、営業損失約150億円を計上へ エアバスA350-900型機全損,2024年1月4日
T00037,G00044,カタール航空、新春お年玉キャンペーン 最大12％オフ,2024年1月4日
T00038,G00024,JAL、羽田発ロンドン行き深夜便を中部経由に 滑走路の離陸性能制限で,2024年1月4日
T00039,G00071,スカイマーク、きょうは通常運航を予定,2024年1月4日
T00040,G00015,ANA、きょう65便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00041,,航空各社、特別対応を延長 無手数料で変更や払い戻し,2024年1月4日
T00042,G00015,ANA、きょう37便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00043,G00024,JAL、東京/羽田〜沖縄/那覇線で臨時便 きょう4日に1往復,2024年1月4日
T00044,G00015,ANA、3日は120便を欠航 羽田空港滑走路閉鎖の影響,2024年1月4日
T00045,G00095,炎上のJAL機、ペットを搭載 受託手荷物は約200個、貨物郵便はなし,2024年1月3日
T00046,G00011,エア・ドゥ、航空券の特別対応を実施,2024年1月3日
T00047,G00015,ANA、あす4日も航空券の特別対応を実施,2024年1月3日
T00048,G00024,JAL、羽田空港での空席待ちを4日も全路線で中止,2024年1月3日
T00049,G00024,JAL、羽田発ロンドン・パリ行きを成田経由に 滑走路の離陸性能制限で,2024年1月3日
T00050,G00071,スカイマーク、航空券の特別取り扱い実施 4日搭乗分まで,2024年1月3日
T00051,G00024,JAL、「2024新春！JALお年玉企画」を中止,2024年1月3日
T00052,,運輸安全委員会、調査官を派遣 羽田空港事故,2024年1月3日
T00053,G00024,JAL、きょうの羽田空港での空席待ちを全路線中止 申し込み済みも無効に,2024年1月3日
T00054,G00015,ANA、国内線で臨時便3便を追加設定 計12便に,2024年1月3日
T00055,G00015,ANA、国内線で臨時便9便を設定,2024年1月3日
T00056,G00050,ZIPAIR Tokyo、8機目が日本に到着 旧JAL機を改修,2024年1月3日
T00057,G00005,スターフライヤー、航空券の特別対応実施 1便を欠航,2024年1月3日
T00058,G00115,ソラシドエア、航空券の特別対応を実施 1便を欠航,2024年1月3日
